,Date,Merchant,Method,金額 (USD),金額 (JPY),Notes,備考,月,Category,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/16,hakuta,paypay H,,"-¥6,205",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/16,sweets plus,Paypay W,,"-¥7,320",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/17,Lawson,paypay W,,-¥495,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/17,はま寿司,Paypay W,,"-¥5,357",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/17,7-Eleven,nanaco H,,"-¥1,969",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/17,Starbucks,Paypay W,,"-¥1,361",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/18,おかしのまちおか,Paypay W,,-¥387,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/18,7-Eleven,nanaco W,,-¥250,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/18,Jonathan,Paypay W,,"-¥5,087",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/18,東急,paypay W,,"-¥3,892",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/19,7-Eleven,nanaco,,"-¥3,160",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/20,Starbucks,Paypay W,,-¥991,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/20,カナデリカ,paypay H,,"-¥3,899",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/21,木曽路,paypay H,,"-¥4,444",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/21,大戸屋,Paypay W,,"-¥2,300",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/21,McDonald’s,Paypay W,,-¥900,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/21,東急,paypay H,,-¥138,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/21,東急,paypay H,,"-¥3,760",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/22,7-Eleven,nanaco W,,-¥250,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/22,東急,paypay w,,"-¥5,326",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/22,feta,paypay H,,"-¥9,028",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/23,サイゼリヤ,prestia,,"-¥3,880",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/23,東急,paypay H,,"-¥7,590",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/24,東急,paypay W,,"-¥4,987",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/24,Starbucks,Paypay W,,-¥950,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/24,Invader,Paypay W,,"-¥2,160",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/25,東急,paypay w,,"-¥4,939",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/26,東急,paypay W,,"-¥6,095",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/26,から好し,Paypay W,,"-¥2,460",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27,東急,paypay W,,"-¥10,567",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/28,いなげや,paypay H,,-¥960,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/29,jessy pizza,現金 H,,"-¥9,471",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/29,東急,paypay H,,"-¥1,534",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/29,7-Eleven,Paypay W,,-¥600,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30,さぼてん,paypay H,,"-¥1,100",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30,東急,paypay H,,"-¥3,008",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30,hakuta,paypay H,,"-¥6,220",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30,7-Eleven,Paypay W,,-¥579,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/31,東急,paypay W,,"-¥4,527",,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/31,7-Eleven,Paypay W,,-¥180,,,2025-01,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
諸々,,,,-$252.87,"-¥720,425",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/1,Tobu World Square,Paypay W,,-¥800,,Gift for Rey: ocarina,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/2,日光林間学校,cash,,"-¥11,200",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/2,巨大迷路パラディウム,Paypay W,,"-¥3,800",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/2,三ツ山羊羹本舗,prestia,,"-¥4,000",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,breeze,paypay H,,"-¥11,000",,玲マリオジャケット,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,Muji,gift card,,"-¥1,490",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,Muji,paypay H,,"-¥2,025",,福缶,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,L.L. Bean,Paypay W,,"-¥9,680",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/3,uniqlo,paypay H,,"-¥2,790",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4,両親へお年玉,現金,,"-¥200,000",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4,まさき家へのお年玉,現金,,"-¥6,100",,ゆう君千円、そうま君百円、誕生日プレゼント代5千円,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4,鶴岡家へのお年玉,現金,,"-¥1,500",,みのり千円、英実５百円,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4,神社でお守り代,現金,,"-¥1,800",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4,おみくじ代、賽銭,現金,,-¥200,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4,鶴岡家へ車代,現金,,"-¥200,000",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/4,鶴岡家へお心付け,現金,,"-¥100,000",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/5,英子へ返金,現金,,"-¥31,100",25yen over,"丸井洋服代16,940+9,900、車清掃代金4,235円",2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/7,Amazon JP,paypay H,,"-¥1,270",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/8,マツモトキヨシ,paypay H,,"-¥5,180",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/8,daiso,paypay H,,-¥110,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/9,daiso,paypay H,,"-¥1,210",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/9,英子へ返金,現金,,"-¥67,099",,"Gallery cafe: ¥3,330
Beer: ¥540
Square land: ¥4200
Strawberries & conservatory: ¥5400
Sanrio land theater: ¥4000
梅の花　2,552円+コストコ47,132円
=67,124

1／5に25円多く上げていた分を差し引くと、67,099円。百円分、おまけしてもらい、67,000円支払。",2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/13,???,USAA,-$155.98,,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/15,daiso,paypay H,,-¥550,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/15,無印,現金 H,,"-¥11,740",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/16,???,USAA,-$52.94,,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/18,daiso,paypay H,,-¥220,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/19,Daiso,Paypay W,,-¥110,,Rey legos,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/19,Ikea,Paypay W,,"-¥4,840",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/19,ikea,paypay H,,"-¥2,497",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/20,daiso,paypay H,,-¥550,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/21,Daiso,Paypay W,,-¥110,,Rey legos,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/21,???,USAA,-$2.99,,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/22,Daiso,Paypay W,,-¥220,,Rey legos,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/22,Natulear verde,prestia,,"-¥4,950",,W haircut,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/23,Seria,Paypay W,,-¥220,,Rey legos,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/25,水戸薬局,現金 H,,"-¥1,000",,スノードーム,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27,daiso,paypay H,,-¥770,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27,マツモトキヨシ,paypay H,,"-¥11,167",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/27,???,USAA,-$40.96,,,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/28,seria,paypay H,,"-¥1,650",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/29,ココカラファイン,paypay H,,"-¥6,548",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30,マツモトキヨシ,paypay H,,"-¥1,196",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/30,Daiso,Paypay W,,-¥110,,Rey legos,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/31,fepa,paypay H,,"-¥9,403",,,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,1/31,Daiso,Paypay W,,-¥220,,Rey legos,2025-01,諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-02,,,,"$4,945.59","¥256,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
給料,,,,$0.00,"¥874,768",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/25,facebook,prestia,,"¥874,768",,,2025-02,給料,,,,,,,,,,,,,,,,,,,,,,,,,,
経費,,,,"$5,316.56","-¥130,560",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/1,金町ぷらっと,paypay H,,"-¥1,700",,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/10,東金町小学校,ゆうちょ,,-¥260,,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/11,USAA property and Casualty Insurance,USAA,-$62.50,,,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/11,SRE management,USAA,"$5,732.00",,,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/12,Z会,prestia,,"-¥11,970",,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/13,Apple One,USAA,-$37.95,,,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/17,東京ガス,ゆうちょ,,"-¥37,482",,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/17,Apple,USAA,-$9.99,,AdBlock Pro,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/20,Check #995969,USAA,-$305.00,,HOA fee,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/26,Oasis,ゆうちょ,,"-¥10,670",,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27,七田,ゆうちょ,,"-¥21,615",,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/27,J-com,ゆうちょ,,"-¥7,568",,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/28,公文,ゆうちょ,,"-¥34,650",,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/28,Docomo,ゆうちょ,,"-¥4,645",,,2025-02,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
食費,,,,$0.00,"-¥293,861",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3,Family Mart,Paypay W,,-¥945,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/1,東急,paypay W,,"-¥4,713",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/1,Family Mart,cash,,-¥118,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/2,花水木,paypay H,,-¥881,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/2,花水木,paypay H,,"-¥1,520",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/2,ひなの,paypay H,,"-¥7,282",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3,Family Mart,Paypay W,,-¥734,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3,kanadelica,paypay H,,"-¥4,609",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3,hakuta,paypay H,,"-¥2,960",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/3,東急,paypay H,,"-¥3,618",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4,ベーカリーあさくら,現金 H,,"-¥1,420",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4,東急,paypay W,,"-¥4,082",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/4,さぼてん,paypay W,,"-¥1,100",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5,とりどりキッチン,paypay W,,"-¥1,650",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5,東急,paypay H,,"-¥2,074",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/5,costco,現金 H,,"-¥1,000",,フードコート,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/6,東急,paypay H,,"-¥4,048",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/6,7-Eleven,Paypay W,,-¥180,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/6,ベーカリーアサクラ,現金 H,,"-¥1,710",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/6,kaldi,paypay H,,"-¥1,506",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/7,東急,paypay W,,"-¥3,602",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/8,木曽路,paypay H,,"-¥5,104",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/8,7-Eleven,Paypay W,,-¥471,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/8,東急,paypay W,,"-¥5,104",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/9,東急,paypay W,,"-¥5,663",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/9,McDonald’s,paypay W,,"-¥1,650",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/10,なだ万,paypay H,,"-¥46,500",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/10,東急,paypay H,,"-¥7,968",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/10,Starbucks,Paypay W,,"-¥1,680",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/11,7-Eleven,Paypay W,,-¥478,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/11,sweets plus,paypay W,,"-¥6,180",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/12,7-Eleven,Paypay W,,-¥180,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/12,東急,paypay H,,"-¥7,210",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/13,東急,paypay H,,"-¥6,851",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14,7-Eleven,Paypay W,,-¥250,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14,fepa,paypay H,,"-¥9,638",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14,英子に返金,現金,,"-¥24,000",,"コストコ代24,438円の438円分を木曽路代として、差し引き",2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/14,東急,Paypay W,,"-¥7,074",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/15,東急,Paypay W,,"-¥3,059",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/16,東急,Paypay W,,"-¥7,715",,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,2/17,7-Eleven,Paypay W,,-¥250,,,2025-02,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
