,Date,Merchant,Method,金額 (USD),金額 (JPY),Notes,備考,月,Category,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/20 T mobile,,-$0.17,,,,2023-11,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/20 USAA hover dot com,,-$16.17,,,,2023-11,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30 Mortgage,,"-$3,575.34",,,,2023-11,USA,,,,,,,,,,,,,,,,,,,,,,,,,,
給料,,,,$0.00,"¥1,897,386",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/24 Remittance Facebook Japan,,,"¥1,897,386",,,2023-11,給料,,,,,,,,,,,,,,,,,,,,,,,,,,
経費,,,,"-$3,195.42","-¥5,400","¥12,830",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/16 Docomo　携帯,,-$25.44,,,,2023-11,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 J com　インターネット,,-$142.27,,,,2023-11,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/18 AIOI  Nissay Dowa Insurance Tokyo JP,,"-$2,940.32",,,,2023-11,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/20 USAA 11月分　東京ガス,,-$87.39,,"¥12,830",,2023-11,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30 prestia Bingo international,,,"-¥5,400",,12月お弁当代,2023-11,経費,,,,,,,,,,,,,,,,,,,,,,,,,,
特別入金,,,,$0.00,"¥250,000",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/27 プレスティア入会プレゼント,,,"¥250,000",,,2023-11,特別入金,,,,,,,,,,,,,,,,,,,,,,,,,,
ウィルおこづかい,,,,-$96.15,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/19 USAA E Earphone-W,,-$76.15,,,,2023-11,ウィルおこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/24 USAA Open AI-W,,-$20.00,,,,2023-11,ウィルおこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
寛子おこづかい,,,,-$73.75,¥0,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/19 USAA fashion co lab(福袋),,-$73.75,,,,2023-11,寛子おこづかい,,,,,,,,,,,,,,,,,,,,,,,,,,
塾/学校,,,,$0.00,"-¥9,040",¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/6 Prestia ビンゴ　お弁当代　振り込み,,,"-¥6,840",,,2023-11,塾/学校,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/16 七田式　百人一首　現金,,,"-¥2,200",,,2023-11,塾/学校,,,,,,,,,,,,,,,,,,,,,,,,,,
食費,,,,-$777.57,"-¥88,728","¥118,468",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/1 Tokyu	,,-$18.95,,"¥2,824",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/2 tokyu	,,-$17.06,,"¥2,570",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/3 7-eleven,,-$8.97,,"-¥1,344",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/3 inageya,,-$29.52,,"-¥4,423",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/4 tokyu store,,-$20.61,,"¥3,075",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/4 tokyu daiso,,-$2.95,,¥440,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/4 lawson,,-$0.93,,¥138,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/5 tokyu store,,-$38.62,,"¥5,672",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/6 tokyu,,-$40.67,,"¥6,067",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/7 どんぐり,,-$30.49,,"¥4,550",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/7 tokyu,,-$26.08,,"¥3,892",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/8 海楽縁（タコキムチ）現金,,,,"¥3,572",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/8 tokyu,,-$25.04,,"¥3,754",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/8 macdonald,,-$6.00,,¥900,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/8 大戸屋,,-$21.95,,"¥3,290",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/9 sweets plus,,-$55.10,,"¥8,280",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 Kaldi,,-$12.03,,"¥1,814",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 Kaldi,,-$5.53,,¥834,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 tokyu,,,,"¥3,275",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 7-eleven,,-$3.72,,¥561,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 7-eleven,,-$5.21,,¥786,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/11 ジョナサン,,-$43.25,,"¥6,539",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/12 tokyu,,-$45.34,,"¥6,856",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/12 shinpachi shokudou,,-$18.84,,"¥2,849",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/12 Nanaco Ario 亀有(クレープ),,,-¥520,,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 サボテン,,-$6.32,,¥955,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 tokyu,,-$4.60,,¥695,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 tokyu,,-$10.73,,"¥1,623",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 tokyu Uohide,,-$3.29,,¥498,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/14 Tokyu Saboten,,-$6.61,,"¥1,000",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/14 tokyu,,-$15.60,,"¥2,359",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/14 7eleven,,-$15.90,,"¥2,404",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/15 tokyu(ちよだ鮨),,-$11.44,,"¥1,717",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/15 tokyu: 11/18 tokyu USAA表記,,-$10.86,,"¥1,631",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/15 Nanaco sweets plus cafe,,,"-¥5,160",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/16 tokyu credit:11/18 USAA 表記,,-$11.47,,"¥1,721",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/16 どんぐり: 11/18 Morino Cake Ya donguri USAA　表記,,-$33.99,"-¥5,100",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/16 Nanaco Otoya-H,,,,"¥3,450",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/17 tokyu,,-$62.03,,"¥9,321",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/17 Tokyu daiso クレジット:11/18 USAA 表記,,-$3.66,,¥550,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/18 tokyu,,-$15.63,,"¥2,332",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/18 nanaco yoshinoya-H,,,"-¥1,659",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/19 USAA tokyu saboten,,-$6.70,,"¥1,000",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/19 USAA tokyu,,-$14.59,,"¥2,177",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/19 nanaco mcdonald-W,,,"-¥2,580",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/19 nanaco 7-eleven-W,,,-¥830,,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/20 paypay tokyu-H,,,"-¥8,022",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/20 paypya tokyu-H,,,-¥899,,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/20 paypay moss burger-W,,,"-¥3,730",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/21 paypay tokyu-H,,,"-¥3,521",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/22 paypay tokyu-H,,,"-¥3,756",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/23 paypay 森のケーキ屋どんぐり-H,,,"-¥7,450",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/23 paypay tokyu-H,,,"-¥5,030",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/24 USAA vansan,,-$56.56,,"¥8,420",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/25 paypay ジョナサン-W,,,"-¥4,172",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/25 paypay コメダ珈琲店-H,,,"-¥5,300",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 Paypay 中華料理　コウ -H,,,"-¥3,740",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 paypay 100 Lawson-H,,,-¥799,,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 Paypay イオンレイクタウン　Delish ウフ-H,,,"-¥1,360",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/27 paypay 東急-H,,,"-¥4,020",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/27 USAA サイゼリヤ-H,,-$10.73,,"¥1,600",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/27 nanaco 7 Eleven-W,,,"-¥1,748",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/28 nanaco 7Eleven-W,,,-¥300,,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/28 paypay 7 eleven-W,,,"-¥1,099",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/28 paypay 東急-W,,,"-¥2,823",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/28 paypay インドレストランシータラ　-W,,,"-¥5,395",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/29 nanaco 7 Eleven-W,,,-¥949,,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/29 東急　クレジットカード,,,,"¥8,244",,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30 paypay 東急ストア-W,,,"-¥1,324",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30 paypay vansan-w,,,"-¥6,720",,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 paypay mister donut-W,,,-¥722,,,2023-11,食費,,,,,,,,,,,,,,,,,,,,,,,,,,
日用品,,,,-$284.67,"-¥33,925","¥45,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/1 daiso,,,,¥110,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/4 muji,,-$132.32,,"¥19,746",,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/5 Seria　現金,,,,"¥2,200",,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/5 seria　現金,,,,¥540,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/8 daiso（ドライバー）,,-$0.73,,¥110,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/8 cocokara fine,,-$11.37,,"¥1,704",,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/11 seria,,-$17.46,,"¥2,640",,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 bellmeson,,-$18.18,,"¥2,726",,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 bellmeson,,-$66.04,,"¥9,900",,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/12 nitori,,-$7.83,,"¥1,196",,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/12 Nanaco Itoyokado,,,"-¥9,982",,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/12 Nanaco itoyokado(防水シーツ、ハンドタオル、ちりとり),,,"-¥8,096",,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/12 Nanaco itoyokado(レギンス、寛子靴２足),,,"-¥10,980",,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 ココカラファイン,,-$5.71,,¥864,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/16 daiso ヴィナシス: 11/18 daiso USAA 表記,,-$10.26,,"¥1,540",,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/18 cocokara fine,,-$14.77,,"¥2,204",,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/20 paypay Daiso-W,,,-¥110,,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/27 Kaldi 現金？クレカ？,,,"-¥1,300",,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/29 paypay Amazon JP(マスク)-H,,,"-¥1,160",,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/29 paypay Amazon JP(マスク)-H,,,-¥427,,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/29 paypay amazon JP(マスク)-H,,,"-¥1,870",,,2023-11,日用品,,,,,,,,,,,,,,,,,,,,,,,,,,
子供関連,,,,-$53.71,"-¥7,381","¥8,049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/3 nishimatuya,,-$38.52,,"¥5,772",,2023-11,子供関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/8 nishimatsuya,,-$15.19,,"¥2,277",,2023-11,子供関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/17 アイビー薬局 現金,,,-¥700,,,2023-11,子供関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/25 paypay 西松屋-H,,,"-¥6,331",,,2023-11,子供関連,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/28 アイビー薬局 現金,,,-¥350,,,2023-11,子供関連,,,,,,,,,,,,,,,,,,,,,,,,,,
その他諸々,,,,"-$3,873.01","-¥83,424","¥121,751",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/3 amazon(あんぱんまん枕、リップバーム)	,,-$12.64,,"¥1,894",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/3 amazon prime membership,,-$39.38,,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/5 hover dot com,,-$11.17,,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/6 amazon（ナイトライト）ライトとまとめて合計3138,,-$11.59,,"¥3,138",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/6 amazon（センサーライト）ライトとまとめて合計3138,,-$9.44,,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/8 amazon（防水シーツ）,,-$25.33,,"¥3,780",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/8 amazon（カーテンフック）,,-$2.80,,¥418,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/8 amazon(突っ張り棒、プレイマット),,-$127.32,,"¥22,000",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/8 amazon（マグネットホルダー）,,-$20.10,,"¥3,645",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/8 ikea,,-$386.71,,"¥57,972",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/8 USAA 楽天(カーテン)-H,,,,"-¥9,900",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/8 USAA 楽天(カーテン用ぬいぐるみ)-H,,,,"-¥2,726",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/9 amazon,,-$24.31,,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/10 amazon（山﨑収納ラック,,-$14.56,,"¥2,195",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 garage (オフィス椅子),,"-$1,370.96",,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/10 英子達にイケアに連れて行ってもらった分等、返済　現金,,,"-¥20,000",,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/12 amazon(突っ張り棒)	,,,,"¥6,000",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/12 amazon(山﨑マグネット　バスケット、トング),,,,"¥4,600",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/12 Ario Muji(Ito Yokado),,-$57.87,,"¥8,750",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 Nanaco 7-eleven (固定資産税コピー),,,-¥290,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,, 11/13 amazon(チャッカマン),,,,¥375,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/13 ATM　現金引き落とし,,,"-¥10,000",,"nanaco, paypay チャージ等",2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/14 Prestia My J style(ウィル美容院),,,"-¥3,000",,SEQ#863085,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/14 ヨドバシカメラ（英実ちゃん用クリスマスプレゼント）,,,-¥840,,プレスティア口座引き落とし,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/16 apple,,-$32.95,,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/17 Checker cab taxi,,-$23.96,,"¥3,600",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/22 Paypay Amazon JP-H,,,-¥255,,突っ張り棒,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/22 Paypay Amazon JP-H,,,"-¥6,509",,玲用ドリル、ナイトライト、ギタースタンド,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/24 USAA Ka Na Ta Tokyo-W,,"-$1,315.15",,,ウィル洋服,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/25 Paypay Amazon JP-H,,,"-¥5,764",,ゴミ袋、ゴミ箱、ひらがなドリル、マスク,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/25 H&M 代引き,,,"-¥8,400",,子供服,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 paypay イオンスタイル　レイクタウン-W,,,"-¥1,738",,paypay,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 Paypay Right on-W,,,"-¥4,290",,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 craft standard boutique-クレジットカード,,,,"¥6,710",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 イオンレイクタウン　ワークマン女子　クレジット,,,,"¥5,300",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/27 paypay daiso-H,,,-¥990,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 nanaco 現金チャージ-W,,,,,"¥10,000",2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/28 paypay Daiso-W,,,-¥440,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/26 USAA イオンレイクタウン　モーリーファンタジー（保育),,-$35.53,,"¥4,000",,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/27 Paypay Amazon JP-H,,,"-¥3,646",,シリコン粘土、フック、ナイトライト,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/27 USAA Apple,,-$109.99,,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/29 Prestia 東急-W,,,"-¥8,244",,東急ストアで買い物,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/28 paypay Amazon JP-H,,,"-¥5,561",,ギタースタンド、収納バッグ、マスク,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/29 paypay Amazon JP-H,,,"-¥3,457",,リサ用マスク３種類,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/30 USAA product.com ,,-$131.26,,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/27 apple,,-$109.99,,,,2023-11,その他諸々,,,,,,,,,,,,,,,,,,,,,,,,,,
病気,,,,$0.00,-¥350,¥0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,11/4 アイビー薬局　現金,,,-¥350,,,2023-11,病気,,,,,,,,,,,,,,,,,,,,,,,,,,
